industry_code,CurrentLiabs,TotalLiabs,RetainedEarnings,CurrentAssets,NetSales,EBIT,MktValueEquity,Rating
D,20.868258255340525,50.501544287861336,32.547303447616414,24.87128624602014,14.774909773883108,1.3349305693337958,238.57151328037764,AAA
D,19.62296741702845,50.35208425545446,28.760326392280923,29.10359792118619,12.447340180780328,1.1370639117496582,215.39646782067925,AAA
D,21.47413308661501,55.00710392379039,29.90357100539968,24.560932383877013,13.074463974625802,1.3900763906265234,232.1822276241572,AAA
I,20.13529299016377,50.22530803328685,29.748943161615017,26.07039965142304,15.765115420374064,1.2035998526667202,228.73207395853285,AAA
D,17.41781139749284,49.89358854488746,29.480276938616463,24.16079483897611,12.612130042505214,1.18981795316122,236.95591833845344,AAA
H,17.007615348841483,51.23508959947421,24.78412016113213,26.380394218845016,12.831380946463208,1.460858399949061,206.3812176888951,AAA
D,18.493488919028508,52.461159699961854,32.49353984744565,28.609036993398576,14.374311106386918,1.4995167397275435,210.81499985472,AAA
D,16.624331324573923,50.58299144911658,30.8108734848428,29.175438871458603,15.203400313549592,1.151785668422392,227.9741767395952,AAA
D,19.54067415759262,51.24324655409039,31.682381908487148,23.761480161997987,15.806171319155633,1.384657479347582,250.5084082278082,AAA
G,16.49516149175104,50.11567285882736,26.662245994603424,24.840403783171524,15.123587514191154,1.4891007613051448,224.35801858131143,AAA
G,19.27224667587945,51.985622876379,31.61371922665725,22.81400712902048,11.89083009724279,1.3169963313693305,234.29790446514957,AA
D,17.303171847773502,61.52780394187905,25.447154553617803,28.943908342846605,15.68813917572806,1.4660584775154872,190.89575511618327,AA
D,19.48830163707923,50.35856544158212,31.999889848758183,24.00996730663212,12.712339282648228,1.376492993419218,248.4670498523892,AA
I,21.20091955665126,50.70548709020969,29.943725056202712,29.700167493794453,12.45562092465046,1.433603649884678,226.07780280154643,AA
B,16.70300324925509,53.10588840208275,32.79659617251135,26.387326454613515,14.215396009732116,1.4654719535923535,245.1792158449386,AA
D,19.07050338108375,51.93557787760599,32.7213223197917,25.029941488218668,13.719442399493431,1.405337057669859,237.97900674865747,AA
D,18.0576770415776,50.10701223898377,32.56458687791447,26.76096228802001,15.691553682296927,1.4831485083927545,218.2312494233444,AA
H,17.982339030277064,52.84326721051994,32.133001183252986,28.09427693412828,13.623503888144024,1.2723606032264194,238.97913842035743,AA
B,20.961870420673925,51.56167559065109,30.38187002338016,25.937689877536144,12.78031790353208,1.2412163725372911,242.7942821255069,AA
G,19.04540110698911,58.66303319626262,28.669929372927232,24.473157965281214,14.80662300940948,1.3482075829583031,206.73660527060585,AA
D,19.85246694938627,50.81958145626172,32.61249153583035,26.785992047484804,12.825022049451544,1.3856185900100717,221.94341267272296,AA
D,19.660284878267326,51.691945685930506,30.656555299546184,23.481755095995844,13.371184406119363,1.3260639903802456,225.5139271163017,AA
D,21.04464078808713,49.97222177587112,26.65613310085488,28.450072220474787,12.058905121309769,1.4937677331912445,202.2136247713481,AA
D,16.59352070149713,53.52281041284276,31.8605868692245,26.200970570017954,15.22750428493371,1.1903476584495,235.08559113911937,AA
G,16.867708522503506,53.86214993817257,26.405027263084648,27.159444977904144,14.20533885462164,1.1594598695480685,196.9370567806476,AA
D,19.408952834548096,51.622415000633794,32.45144540195898,24.966686540356108,13.608512608439574,1.3110020621183076,234.55773092981696,AA
B,17.6798840111547,54.03283317854284,26.078021553135912,29.114862359868944,12.231837153914102,1.2881221427726344,196.02340060901284,AA
I,19.304463163008005,49.90330500273871,32.48056249126423,24.30424427409954,13.94657577862966,1.3572061488201663,231.00879819657985,AA
I,16.718222764279933,51.68251020016959,32.760941466989905,28.28830950399504,13.252409961276683,1.3062951594368857,208.7706245691168,AA
